title,tag_stem
Girls Trip,comedy universal pictures packer productions four girlfriends take trip orleans annual festival along rediscover wild sides strengthen bonds sisterhood
Life,horror science fiction thriller columbia pictures skydance productions sony pictures entertainment nvizage sixmember crew international space station tasked studying sample mars first proof extraterrestrial life proves intelligent ever expected
To the Bone,drama mockingbird pictures ambi group sparkhouse media young woman dealing anorexia meets unconventional doctor challenges face condition embrace life
Fifty Shades Darker,fifty shades collection drama romance universal pictures perfect world pictures beijing wounded christian grey tries entice cautious steele back life demands arrangement give another chance begin build trust find stability shadowy figures christian past start circle couple determined destroy hopes future together
Ghost in the Shell,action science fiction thriller paramount pictures dreamworks shanghai film group reliance entertainment arad productions grosvenor park productions steven paul production huahua media seaside entertainment amblin partners weying galaxy entertainment near future major first kind human saved terrible crash cyberenhanced perfect soldier devoted stopping worlds dangerous criminals
iBoy,action crime science fiction thriller netflix pretty pictures films wigwam films accident wakes coma discover fragments smart phone embedded head worse returning normal teenage life impossible developed strange super powers
The Boss Baby,animation comedy family twentieth century film corporation dreamworks animation story babys arrival impacts family told point view delightfully unreliable narrator wildly imaginative year named
Beauty and the Beast,family fantasy romance walt disney pictures mandeville films liveaction adaptation disneys version classic beauty beast tale cursed prince beautiful young woman helps break spell
King Arthur: Legend of the Sword,action drama fantasy village roadshow pictures weed road pictures warner bros wigram productions safehouse pictures child arthur father murdered vortigern arthur uncle seizes crown robbed birthright idea truly arthur comes hard back alleys city pulls sword excalibur stone life turned upside forced acknowledge true legacy whether likes
Before I Fall,mystery drama thriller shestack productions awesomeness films samantha kingston everything everything changes fateful night wakes future trapped reliving begins question perfect life really
T2 Trainspotting,trainspotting collection crime drama films tristar pictures cloud eight films creative scotland decibel films film years abroad mark renton returns scotland reunites friends sick spud begbie
Kong: Skull Island,action adventure fantasy legendary pictures warner bros explore mysterious dangerous home king apes team explorers ventures deep inside treacherous primordial island
Logan,wolverine collection action drama science fiction twentieth century film corporation donners company marvel entertainment entertainment near future weary logan cares ailing professor hideout mexican border logans attempts hide world legacy upended young mutant arrives pursued dark forces
Get Out,mystery thriller horror blumhouse productions entertainment monkeypaw productions chris girlfriend rose upstate visit parents weekend first chris reads familys overly accommodating behavior nervous attempts deal daughters interracial relationship weekend progresses series increasingly disturbing discoveries lead truth never could imagined
Rings,ring collection horror paramount pictures vertigo entertainment macariedelstein parkesmacdonald image nation waddieish claretrap julia becomes worried boyfriend holt explores dark urban legend mysterious videotape said kill watcher seven days viewing sacrifices save boyfriend makes horrifying discovery movie within movie ever seen
The Lego Batman Movie,lego movie collection action animation comedy family fantasy pictures warner bros animation warner bros animal logic entertainment lord miller lego system irreverent spirit made lego movie worldwide phenomenon selfdescribed leading ensemble lego batman stars bigscreen adventure changes brewing gotham wants save city joker hostile takeover batman drop lone vigilante thing work others maybe maybe learn lighten
xXx: Return of Xander Cage,collection action adventure crime paramount pictures revolution studios race films productions maple cage productions extreme athlete turned government operative xander cage comes selfimposed exile thought long dead collision course deadly alpha warrior xiang team race recover sinister seemingly unstoppable weapon known pandoras recruiting allnew group thrillseeking cohorts xander finds enmeshed deadly conspiracy points collusion highest levels world governments
A Cure for Wellness,mystery thriller horror science fiction studio babelsberg regency enterprises twentieth century regency pictures entertainment blind wink productions ambitious young executive sent retrieve companys idyllic mysterious wellness center remote location swiss alps soon suspects spas miraculous treatments seem
Sleepless,action crime thriller vertigo entertainment filmnation entertainment open road films riverstone pictures undercover vegas police officer vincent downs caught high stakes corrupt cops mobcontrolled casino underground heist goes wrong crew homicidal gangsters kidnaps downs teenage sleepless night rescue evade internal affairs investigation bring kidnappers justice
Fist Fight,comedy line cinema village roadshow pictures laps entertainment wrigley pictures brand school teacher gets fired challenged afterschool fight
A Dog's Purpose,comedy drama family fantasy universal pictures amblin entertainment pariah entertainment group original pictures reliance entertainment walden media pariah goes quest discover purpose life course several lifetimes multiple owners
Wonder Woman,wonder woman collection action adventure fantasy dune entertainment atlas entertainment warner bros entertainment cruel unusual films tencent pictures wanda pictures amazon princess comes world become greatest female superheroes
The Circle,drama thriller science fiction likely story playtone image nation young tech worker takes greedy internet corporation quickly rises companys ranks soon finds perilous situation concerning privacy surveillance freedom comes learn decisions actions effect whatsoever
Guardians of the Galaxy Vol. 2,guardians galaxy collection action adventure comedy science fiction walt disney pictures marvel studios guardians must fight keep newfound family together unravel mysteries peter quills true parentage
Pirates of the Caribbean: Dead Men Tell No Tales,pirates caribbean collection adventure action fantasy comedy walt disney pictures jerry bruckheimer films infinitum nihil moving picture company thrust allnew paycheck downonhisluck capt jack sparrow feels winds illfortune blowing even strongly deadly ghost sailors nemesis evil capt salazar escape devils triangle jacks hope payout lies seeking legendary trident numbers find must forge uneasy alliance reasonably intelligent pretty astronomer irritating young british navy
